,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
125,IN,IN,1572985460,78,14.42,74.4,91,4.18,74.17,74.17
126,RU,RU,1572985461,74,56.78,105.75,95,1.95,8.06,8.06
127,BS,BS,1572985462,4,26.54,-77.06,77,8.97,79.59,79.59
128,RU,RU,1572985464,100,59.06,80.87,94,15.9,26.82,26.82
129,RU,RU,1572985465,6,59.36,143.24,75,19.53,18.41,18.41
130,CA,CA,1572985382,90,49.76,-94.48,57,8.05,17.6,17.01
131,US,US,1572985468,1,29.9,-93.93,57,8.05,80.6,73.99
132,RU,RU,1572985469,3,52.82,83.12,79,8.95,28.4,28.4
133,MV,MV,1572985172,100,5.67,73.0,72,9.17,82.36,82.36
134,CA,CA,1572985472,90,45.63,-73.98,87,14.99,48.99,46.0
135,IN,IN,1572985473,0,30.78,78.62,36,2.39,24.6,24.6
136,JP,JP,1572985314,0,34.68,135.8,93,1.12,46.0,43.0
137,CA,CA,1572985476,90,48.94,-125.55,81,2.24,52.0,50.0
138,CA,CA,1572985477,75,58.52,-117.13,73,8.05,19.4,19.4
139,RU,RU,1572985479,99,53.6,91.39,86,4.47,30.2,30.2
140,US,US,1572985480,1,21.44,-157.84,78,3.36,79.0,75.2
141,CD,CD,1572985481,97,-3.52,23.6,98,2.84,69.85,69.85
142,US,US,1572985483,1,40.39,-90.15,39,9.17,51.01,44.01
143,PF,PF,1572985484,0,-23.12,-134.97,80,5.37,76.71,76.71
144,NO,NO,1572985391,20,70.86,29.09,92,3.36,33.8,24.8
145,SA,SA,1572985487,0,17.54,44.22,32,6.93,69.8,69.8
146,ID,ID,1572985488,80,-3.46,120.21,83,3.94,59.56,59.56
147,CI,CI,1572985489,0,4.75,-6.64,82,8.5,81.32,81.32
148,SR,SR,1572985491,40,5.06,-54.98,41,8.05,93.2,93.0
149,MX,MX,1572985492,0,20.87,-90.4,81,15.64,81.61,81.61
150,ZM,ZM,1572985494,100,-14.38,23.24,71,5.55,70.3,70.3
151,NA,NA,1572985495,66,-26.65,15.16,59,13.87,66.2,66.2
